"Sex","Frequency","Iconicity","NeighborhoodDensity","Sign","CaregiverHearingStatus","Age","EncryptedID","EncryptedParticipant","ComprehendsAndProduces","Secondary.Caregiver.Deaf.HoH"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",46,"ID_88","Participant_124",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",33,"ID_20","Participant_215",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",31,"ID_205","Participant_201",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_223","Participant_147",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_181","Participant_79",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",51,"ID_287","Participant_130",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",58,"ID_279","Participant_63",NA,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_196","Participant_60",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",14,"ID_188","Participant_55",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_21","Participant_25",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_102","Participant_182",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_83","Participant_39",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",41,"ID_154","Participant_110",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",10,"ID_191","Participant_171",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",13,"ID_170","Participant_120",FALSE,"Yes"
"Non Binary",0.369,-0.302,5,"ask","Deaf Caregivers",55,"ID_5","Participant_197",NA,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",12,"ID_272","Participant_105",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_252","Participant_225",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",39,"ID_291","Participant_36",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",32,"ID_118","Participant_175",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",34,"ID_155","Participant_123",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",54,"ID_268","Participant_88",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_107","Participant_149",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",20,"ID_219","Participant_73",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",47,"ID_264","Participant_12",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",48,"ID_76","Participant_230",NA,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",32,"ID_54","Participant_74",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",39,"ID_240","Participant_164",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_246","Participant_16",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_190","Participant_186",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",24,"ID_46","Participant_70",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",29,"ID_17","Participant_29",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",24,"ID_217","Participant_202",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",30,"ID_125","Participant_125",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_229","Participant_118",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",26,"ID_235","Participant_22",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",28,"ID_94","Participant_158",NA,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_16","Participant_221",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_244","Participant_67",NA,""
"",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_142","Participant_75",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",21,"ID_30","Participant_143",NA,""
"",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_6","Participant_232",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_234","Participant_114",NA,""
"",0.369,-0.302,5,"ask","Deaf Caregivers",19,"ID_215","Participant_117",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",30,"ID_258","Participant_192",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_110","Participant_97",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_35","Participant_134",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_140","Participant_203",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_41","Participant_108",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",26,"ID_153","Participant_121",TRUE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",30,"ID_109","Participant_212",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",30,"ID_224","Participant_136",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",35,"ID_127","Participant_181",NA,""
"",0.369,-0.302,5,"ask","Hearing Caregivers",38,"ID_23","Participant_94",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",36,"ID_121","Participant_3",NA,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",34,"ID_178","Participant_53",TRUE,"No"
"",0.369,-0.302,5,"ask","Deaf Caregivers",6,"ID_7","Participant_226",FALSE,""
"",0.369,-0.302,5,"ask","Hearing Caregivers",18,"ID_98","Participant_224",FALSE,""
"",0.369,-0.302,5,"ask","Deaf Caregivers",23,"ID_74","Participant_137",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",19,"ID_86","Participant_16",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_60","Participant_147",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",23,"ID_200","Participant_237",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",33,"ID_135","Participant_169",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",19,"ID_52","Participant_66",NA,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",28,"ID_243","Participant_59",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",37,"ID_159","Participant_164",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",33,"ID_25","Participant_179",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",30,"ID_34","Participant_156",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",34,"ID_112","Participant_122",NA,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_158","Participant_33",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",19,"ID_90","Participant_82",FALSE,"Yes"
"",0.369,-0.302,5,"ask","Hearing Caregivers",32,"ID_141","Participant_119",TRUE,""
"",0.369,-0.302,5,"ask","Deaf Caregivers",15,"ID_288","Participant_113",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",22,"ID_69","Participant_81",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",37,"ID_175","Participant_130",TRUE,"Yes"
"Other",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_166","Participant_167",NA,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",23,"ID_89","Participant_235",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_195","Participant_175",NA,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",34,"ID_79","Participant_24",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",32,"ID_116","Participant_31",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_10","Participant_78",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",34,"ID_64","Participant_48",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",28,"ID_40","Participant_193",TRUE,"Yes"
"",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_199","Participant_100",TRUE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_210","Participant_11",NA,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_38","Participant_86",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",48,"ID_214","Participant_234",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_119","Participant_22",FALSE,NA
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_33","Participant_193",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",19,"ID_285","Participant_202",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",12,"ID_293","Participant_41",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_51","Participant_211",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",23,"ID_221","Participant_125",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",11,"ID_202","Participant_15",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_242","Participant_134",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",23,"ID_132","Participant_192",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",12,"ID_173","Participant_66",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",31,"ID_161","Participant_189",TRUE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",24,"ID_185","Participant_17",TRUE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_62","Participant_58",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",10,"ID_251","Participant_108",FALSE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",14,"ID_139","Participant_155",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_274","Participant_130",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",31,"ID_283","Participant_227",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",9,"ID_239","Participant_147",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",16,"ID_82","Participant_22",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",30,"ID_180","Participant_228",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",37,"ID_31","Participant_230",NA,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",6,"ID_203","Participant_56",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",20,"ID_65","Participant_114",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",24,"ID_207","Participant_118",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",21,"ID_95","Participant_98",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_138","Participant_67",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_80","Participant_42",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",10,"ID_12","Participant_159",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_117","Participant_122",NA,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_230","Participant_35",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",39,"ID_152","Participant_44",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",25,"ID_227","Participant_53",NA,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",11,"ID_2","Participant_143",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_3","Participant_93",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",17,"ID_236","Participant_121",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_105","Participant_190",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",26,"ID_47","Participant_203",FALSE,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",19,"ID_262","Participant_59",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",24,"ID_218","Participant_1",NA,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",31,"ID_276","Participant_180",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_68","Participant_3",FALSE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_184","Participant_181",FALSE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_183","Participant_83",FALSE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",9,"ID_182","Participant_33",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",33,"ID_149","Participant_165",FALSE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",29,"ID_45","Participant_138",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",23,"ID_194","Participant_210",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",36,"ID_28","Participant_131",NA,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",28,"ID_66","Participant_176",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_248","Participant_48",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",58,"ID_226","Participant_206",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_273","Participant_51",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_167","Participant_116",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",34,"ID_156","Participant_12",FALSE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_174","Participant_5",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",23,"ID_130","Participant_169",FALSE,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",21,"ID_245","Participant_136",NA,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",55,"ID_150","Participant_14",TRUE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",53,"ID_18","Participant_87",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_8","Participant_78",FALSE,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",17,"ID_278","Participant_129",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",55,"ID_241","Participant_132",TRUE,""
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_275","Participant_158",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",57,"ID_96","Participant_68",NA,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_247","Participant_163",TRUE,""
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",27,"ID_212","Participant_164",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_257","Participant_188",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_265","Participant_81",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_99","Participant_160",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",18,"ID_92","Participant_4",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",39,"ID_172","Participant_101",TRUE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",9,"ID_249","Participant_16",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_162","Participant_99",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",37,"ID_114","Participant_69",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",60,"ID_126","Participant_49",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",40,"ID_289","Participant_7",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",50,"ID_255","Participant_20",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",12,"ID_201","Participant_90",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",31,"ID_101","Participant_85",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",55,"ID_73","Participant_135",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",57,"ID_87","Participant_231",FALSE,"I prefer not to answer"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",18,"ID_147","Participant_184",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",33,"ID_228","Participant_28",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",17,"ID_177","Participant_185",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",17,"ID_222","Participant_219",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",47,"ID_131","Participant_65",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",26,"ID_128","Participant_200",NA,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",33,"ID_233","Participant_32",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_22","Participant_50",NA,"I prefer not to answer"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_53","Participant_235",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",36,"ID_133","Participant_40",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_160","Participant_179",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",48,"ID_168","Participant_128",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",20,"ID_136","Participant_211",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",33,"ID_165","Participant_146",NA,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",44,"ID_106","Participant_139",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",58,"ID_115","Participant_199",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",54,"ID_134","Participant_218",NA,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",23,"ID_57","Participant_195",FALSE,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",51,"ID_260","Participant_71",TRUE,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",8,"ID_49","Participant_76",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",48,"ID_29","Participant_104",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",13,"ID_145","Participant_91",FALSE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",54,"ID_281","Participant_142",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_157","Participant_172",NA,""
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",36,"ID_61","Participant_2",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",55,"ID_9","Participant_18",TRUE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",54,"ID_120","Participant_187",TRUE,""
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",21,"ID_280","Participant_31",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_225","Participant_154",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",36,"ID_19","Participant_77",NA,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",15,"ID_36","Participant_125",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",37,"ID_254","Participant_229",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",40,"ID_137","Participant_170",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",24,"ID_282","Participant_229",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",22,"ID_43","Participant_141",FALSE,"No"
"Female",0.369,-0.302,5,"ask","Hearing Caregivers",15,"ID_44","Participant_212",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_179","Participant_217",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",57,"ID_50","Participant_161",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",49,"ID_209","Participant_236",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",34,"ID_42","Participant_150",NA,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",41,"ID_63","Participant_106",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",59,"ID_211","Participant_26",TRUE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",32,"ID_85","Participant_92",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",46,"ID_72","Participant_191",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",47,"ID_187","Participant_95",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",28,"ID_103","Participant_194",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",18,"ID_97","Participant_24",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",47,"ID_146","Participant_216",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_231","Participant_150",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",45,"ID_292","Participant_236",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",17,"ID_270","Participant_168",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",42,"ID_113","Participant_223",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",16,"ID_81","Participant_141",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",33,"ID_286","Participant_170",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",38,"ID_171","Participant_54",TRUE,"Skip question"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",59,"ID_250","Participant_207",TRUE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",47,"ID_143","Participant_148",NA,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",25,"ID_213","Participant_233",FALSE,"Yes"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",59,"ID_32","Participant_220",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",56,"ID_193","Participant_72",FALSE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",59,"ID_208","Participant_140",TRUE,"Yes"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",29,"ID_164","Participant_214",NA,"Skip question"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",45,"ID_91","Participant_96",NA,"No"
"Female",0.369,-0.302,5,"ask","Deaf Caregivers",9,"ID_78","Participant_141",FALSE,"No"
"Male",0.369,-0.302,5,"ask","Hearing Caregivers",43,"ID_256","Participant_209",NA,"No"
"Male",0.369,-0.302,5,"ask","Deaf Caregivers",34,"ID_197","Participant_102",TRUE,"Yes"
"Female",0.125,1.062,0,"away","Deaf Caregivers",35,"ID_39","Participant_16",FALSE,"Yes"
"Male",0.125,1.062,0,"away","Hearing Caregivers",15,"ID_290","Participant_47",FALSE,"No"
"Female",0.125,1.062,0,"away","Deaf Caregivers",11,"ID_1","Participant_196",FALSE,"Yes"
"Male",0.125,1.062,0,"away","Hearing Caregivers",28,"ID_263","Participant_212",TRUE,"No"
"Female",0.125,1.062,0,"away","Hearing Caregivers",8,"ID_75","Participant_183",FALSE,"No"
"Female",0.125,1.062,0,"away","Hearing Caregivers",27,"ID_189","Participant_38",TRUE,"No"
"Female",0.125,1.062,0,"away","Hearing Caregivers",41,"ID_271","Participant_57",FALSE,"No"
"Male",0.125,1.062,0,"away","Hearing Caregivers",34,"ID_259","Participant_34",FALSE,"No"
"Male",0.125,1.062,0,"away","Hearing Caregivers",31,"ID_220","Participant_153",FALSE,"No"
"Female",0.125,1.062,0,"away","Hearing Caregivers",25,"ID_232","Participant_80",FALSE,"No"
"Female",0.125,1.062,0,"away","Hearing Caregivers",17,"ID_108","Participant_9",FALSE,"No"
"Male",0.125,1.062,0,"away","Hearing Caregivers",18,"ID_253","Participant_19",FALSE,"No"
"Male",0.125,1.062,0,"away","Hearing Caregivers",38,"ID_59","Participant_43",NA,"No"
